Date,Open,High,Low,Close,Volume,Adj Close
2016-12-12,89.00,89.00,87.337,87.572,13700,87.572
2016-12-09,88.867,89.391,87.682,89.391,17100,89.391
2016-12-08,86.61,89.228,86.54,88.951,35300,88.951
2016-12-07,83.90,86.61,83.90,86.555,22600,86.555
2016-12-06,82.84,83.504,82.056,83.201,11600,83.201
2016-12-05,79.44,82.605,79.10,82.501,14200,82.501
2016-12-02,79.40,80.018,78.666,79.622,5100,79.622
2016-12-01,80.05,80.70,79.311,79.311,5200,79.311
2016-11-30,81.38,81.38,80.15,80.24,1600,80.24
2016-11-29,81.75,81.943,80.424,81.499,4600,81.499
2016-11-28,82.425,82.508,81.643,81.80,3900,81.80
2016-11-25,82.25,82.605,81.995,82.605,1900,82.605
2016-11-24,82.371,82.656,82.197,82.31,2100,82.31
2016-11-23,83.277,83.29,81.372,82.351,15200,82.351
2016-11-22,82.80,83.404,82.80,83.043,6500,83.043
2016-11-21,81.00,82.725,80.812,82.40,17800,82.40
2016-11-18,80.599,81.825,80.543,80.849,2600,80.849
2016-11-17,80.70,81.312,80.029,80.72,4000,80.72
2016-11-16,81.999,81.999,79.75,80.94,6200,80.94
2016-11-15,80.85,81.695,80.658,81.30,8600,81.30
2016-11-14,80.50,82.412,80.20,80.75,22900,80.75
2016-11-11,76.95,80.125,76.80,79.958,18200,79.958
2016-11-10,77.04,77.605,76.168,77.071,15600,77.071
2016-11-09,73.10,76.799,73.001,76.73,43100,76.73
2016-11-08,77.085,77.96,75.975,77.96,14200,77.96
2016-11-07,76.813,77.743,76.641,77.308,9700,77.308
2016-11-04,75.48,75.639,73.745,75.639,19100,75.639
2016-11-03,75.501,76.157,75.043,75.417,4500,75.417
2016-11-02,77.40,77.674,75.113,75.50,11900,75.50
2016-11-01,79.85,79.912,77.70,77.70,7100,77.70
2016-10-31,79.95,79.95,79.081,79.595,3200,79.595
2016-10-28,79.60,80.269,78.832,79.768,5700,79.768
2016-10-27,79.90,80.508,79.588,79.89,6400,79.89
2016-10-26,79.581,80.35,79.18,80.269,33800,80.269
2016-10-25,79.80,80.315,79.432,79.824,9200,79.824
2016-10-24,78.641,80.062,78.641,79.788,10100,79.788
2016-10-21,78.993,79.13,78.137,78.825,10200,78.825
2016-10-20,78.25,79.635,78.16,79.001,9300,79.001
2016-10-19,77.099,78.545,76.713,78.00,8600,78.00
2016-10-18,76.60,77.301,76.182,77.201,4500,77.201
2016-10-17,76.70,76.799,75.947,76.529,5900,76.529
2016-10-14,75.70,77.492,75.61,77.031,14200,77.031
2016-10-13,76.35,76.50,75.308,76.128,6600,76.128
2016-10-12,77.80,77.80,76.794,77.191,3800,77.191
2016-10-11,78.00,78.713,77.467,77.467,3000,77.467
2016-10-10,77.65,78.284,77.197,78.284,5700,78.284
2016-10-07,78.35,78.35,77.00,77.452,12800,77.452
2016-10-06,78.28,78.595,77.849,78.595,31700,78.595
2016-10-05,77.05,78.374,75.97,77.986,13100,77.986
2016-10-04,74.95,77.535,74.95,76.599,14600,76.599
2016-10-03,74.85,74.85,74.85,74.85,000,74.85
2016-09-30,72.40,75.005,72.235,74.85,7800,74.85
2016-09-29,74.55,74.988,73.00,73.00,3700,73.00
2016-09-28,73.50,74.30,73.50,73.863,2100,73.863
2016-09-27,74.139,74.40,72.00,73.662,10400,73.662
2016-09-26,75.20,75.263,73.472,73.547,3700,73.547
2016-09-23,76.529,76.529,75.377,75.402,4200,75.402
2016-09-22,75.352,76.812,75.00,76.469,9500,76.469
2016-09-21,74.599,75.185,74.275,74.444,4800,74.444
2016-09-20,73.969,74.434,73.827,74.274,1600,74.274
2016-09-19,74.09,74.495,73.786,73.786,7400,73.786
2016-09-16,75.40,75.40,73.201,73.602,3900,73.602
2016-09-15,75.05,75.487,74.457,75.114,4200,75.114
2016-09-14,75.90,75.90,74.867,74.914,1100,74.914
2016-09-13,76.509,76.509,74.995,75.40,5500,75.40
2016-09-12,76.10,76.10,74.66,75.768,10900,75.768
2016-09-09,77.35,77.796,76.599,76.599,4400,76.599
2016-09-08,78.15,78.668,76.244,77.351,16900,77.351
2016-09-07,77.90,78.80,77.238,78.80,2700,78.80
2016-09-06,78.40,78.65,77.357,77.743,1900,77.743
2016-09-05,78.95,79.005,78.046,78.046,5300,78.046
2016-09-02,78.126,78.525,76.915,78.375,5300,78.375
2016-09-01,78.10,79.632,77.775,78.131,7300,78.131
2016-08-31,78.47,79.148,77.667,77.667,6200,77.667
2016-08-30,77.033,78.655,77.033,78.655,6200,78.655
2016-08-29,76.883,77.026,76.315,76.779,5100,76.779
2016-08-26,76.35,77.097,75.908,76.041,5500,76.041
2016-08-25,77.649,77.649,75.597,76.409,5000,76.409
2016-08-24,77.30,77.68,76.983,77.623,1800,77.623
2016-08-23,77.20,77.719,77.06,77.48,4700,77.48
2016-08-22,77.50,78.183,76.759,76.759,5500,76.759
2016-08-19,78.021,78.20,76.502,77.128,10900,77.128
2016-08-18,79.199,79.35,78.414,78.899,4400,78.899
2016-08-17,79.65,79.695,78.079,78.996,5300,78.996
2016-08-16,80.00,80.002,78.981,79.687,4300,79.687
2016-08-15,79.82,80.70,79.788,80.70,4700,80.70
2016-08-12,80.50,80.50,79.432,79.57,7800,79.57
2016-08-11,80.20,81.008,79.25,80.17,6000,80.17
2016-08-10,80.10,80.644,79.49,79.751,11100,79.751
2016-08-09,77.90,80.499,77.90,79.65,18200,79.65
2016-08-08,77.90,78.943,77.426,77.437,9500,77.437
2016-08-05,76.249,78.113,76.187,77.50,8100,77.50
2016-08-04,76.35,77.57,75.652,75.752,6000,75.752
2016-08-03,75.205,76.011,73.778,76.011,10500,76.011
2016-08-02,77.85,78.925,74.794,75.46,18600,75.46
2016-08-01,77.604,78.567,76.555,76.728,12000,76.728
2016-07-29,76.23,77.204,76.23,76.859,5600,76.859
2016-07-28,78.406,78.406,75.901,76.652,10600,76.652
2016-07-27,76.839,78.705,76.839,78.143,12000,78.143
2016-07-26,76.409,77.301,75.95,76.883,3300,76.883
2016-07-25,75.50,77.322,75.377,76.265,11900,76.265
2016-07-22,75.768,76.011,75.26,75.35,2900,75.35
2016-07-21,75.49,76.433,75.068,75.999,9300,75.999
2016-07-20,73.397,75.622,73.397,75.20,7300,75.20
2016-07-19,74.996,74.996,72.765,73.539,5800,73.539
2016-07-18,75.146,76.015,74.469,75.096,4900,75.096
2016-07-15,74.499,75.101,73.80,74.475,8400,74.475
2016-07-14,73.299,75.20,73.25,74.37,17300,74.37
2016-07-13,73.25,75.087,72.686,72.90,11700,72.90
2016-07-12,70.75,73.655,70.56,73.128,22800,73.128
2016-07-11,69.30,70.392,68.98,69.866,7900,69.866
2016-07-08,65.749,68.793,65.337,68.409,7600,68.409
2016-07-07,65.65,67.055,65.35,65.763,9800,65.763
2016-07-06,64.65,65.612,63.415,65.612,9400,65.612
2016-07-05,66.89,66.89,64.999,65.048,8300,65.048
2016-07-04,68.15,68.449,66.495,66.956,11000,66.956
2016-07-01,66.29,68.385,66.00,67.958,11700,67.958
2016-06-30,66.13,66.499,65.00,66.454,18700,66.454
2016-06-29,66.78,67.417,65.588,66.20,14800,66.20
2016-06-28,67.14,68.115,65.702,66.144,19200,66.144
2016-06-27,68.00,68.69,65.045,66.20,35100,66.20
2016-06-24,64.15,70.368,64.15,68.419,117600,68.419
2016-06-23,73.20,74.379,72.25,74.026,18900,74.026
2016-06-22,73.30,73.571,72.185,72.34,11200,72.34
2016-06-21,72.60,73.043,72.00,72.82,6700,72.82
2016-06-20,71.447,72.719,71.193,72.719,13800,72.719
