Date,Open,High,Low,Close,Volume,Adj Close
2016-12-12,22.70,22.70,22.70,22.70,000,22.70
2016-12-09,23.00,23.00,22.60,22.70,8912000,22.70
2016-12-08,22.90,23.10,22.90,23.00,2891100,23.00
2016-12-07,23.00,23.30,22.60,22.90,9834300,22.90
2016-12-06,22.80,23.20,22.80,23.00,6886200,23.00
2016-12-05,22.80,22.80,22.80,22.80,000,22.80
2016-12-02,23.10,23.30,22.70,22.80,7652200,22.80
2016-12-01,24.10,24.20,23.10,23.10,21371500,23.10
2016-11-30,23.70,24.20,23.70,24.20,6698100,24.20
2016-11-29,23.80,23.90,23.60,23.70,5770300,23.70
2016-11-28,23.90,24.00,23.70,23.70,2648700,23.70
2016-11-25,23.60,24.00,23.60,23.90,5011300,23.90
2016-11-24,23.90,23.90,23.50,23.60,3807400,23.60
2016-11-23,23.90,23.90,23.40,23.80,10061900,23.80
2016-11-22,23.70,24.00,23.70,23.80,1964300,23.80
2016-11-21,23.90,24.00,23.70,23.80,5070700,23.80
2016-11-18,24.10,24.10,23.80,23.90,5258100,23.90
2016-11-17,24.30,24.40,24.00,24.10,2269200,24.10
2016-11-16,24.50,24.50,24.10,24.40,5448400,24.40
2016-11-15,24.10,24.50,23.80,24.50,4385500,24.50
2016-11-14,24.40,24.50,24.10,24.10,3151300,24.10
